"","SpawnBio_om","Recruit_0_om","F_om","SPRratio_om","SpawnBio_em","Recruit_0_em","F_em","SPRratio_em","scenario","replicate","A","D","E","F","L","species","year","ID"
"1",4084180000,95002900,0,0,4267930000,137542000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",1,"A100-D0-E20-F1-L100-cay-1"
"2",4084160000,139527000,0,0,4267930000,136332000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",2,"A100-D0-E20-F1-L100-cay-1"
"3",4072890000,85373500,0,0,4268160000,134582000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",3,"A100-D0-E20-F1-L100-cay-1"
"4",4047010000,247243000,0,0,4268710000,149031000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",4,"A100-D0-E20-F1-L100-cay-1"
"5",4014440000,115931000,0,0,4268360000,136363000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",5,"A100-D0-E20-F1-L100-cay-1"
"6",4000250000,89675100,0,0,4270370000,133232000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",6,"A100-D0-E20-F1-L100-cay-1"
"7",4044320000,158906000,0,0,4278620000,150103000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",7,"A100-D0-E20-F1-L100-cay-1"
"8",4067870000,151960000,0,0,4284600000,123923000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",8,"A100-D0-E20-F1-L100-cay-1"
"9",4078270000,144370000,0,0,4291090000,175205000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",9,"A100-D0-E20-F1-L100-cay-1"
"10",4103020000,104044000,0,0,4298910000,124065000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",10,"A100-D0-E20-F1-L100-cay-1"
"11",4134080000,228537000,0,0,4308320000,141695000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",11,"A100-D0-E20-F1-L100-cay-1"
"12",4155770000,121681000,0,0,4331890000,125741000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",12,"A100-D0-E20-F1-L100-cay-1"
"13",4185830000,96400500,0,0,4345080000,143485000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",13,"A100-D0-E20-F1-L100-cay-1"
"14",4250530000,55248200,0,0,4352690000,115590000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",14,"A100-D0-E20-F1-L100-cay-1"
"15",4284790000,231824000,0,0,4350560000,136752000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",15,"A100-D0-E20-F1-L100-cay-1"
"16",4265290000,102928000,0,0,4341950000,160551000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",16,"A100-D0-E20-F1-L100-cay-1"
"17",4228540000,127342000,0,0,4319910000,127011000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",17,"A100-D0-E20-F1-L100-cay-1"
"18",4227180000,175065000,0,0,4305770000,146809000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",18,"A100-D0-E20-F1-L100-cay-1"
"19",4207600000,154081000,0,0,4303740000,182002000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",19,"A100-D0-E20-F1-L100-cay-1"
"20",4201740000,145623000,0,0,4301450000,121048000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",20,"A100-D0-E20-F1-L100-cay-1"
"21",4223160000,167613000,0,0,4318840000,194966000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",21,"A100-D0-E20-F1-L100-cay-1"
"22",4255450000,153647000,0,0,4353840000,137267000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",22,"A100-D0-E20-F1-L100-cay-1"
"23",4297890000,119570000,0,0,4391120000,119809000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",23,"A100-D0-E20-F1-L100-cay-1"
"24",4351980000,57349300,0,0,4450380000,87882400,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",24,"A100-D0-E20-F1-L100-cay-1"
"25",4395870000,189625000,0,0,4489860000,155811000,0,0,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",25,"A100-D0-E20-F1-L100-cay-1"
"26",4392580000,108257000,0.121067,0.579005,4490260000,115412000,0.117962,0.570412,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",26,"A100-D0-E20-F1-L100-cay-1"
"27",3865500000,117794000,0.121067,0.579005,3965240000,140164000,0.117914,0.570288,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",27,"A100-D0-E20-F1-L100-cay-1"
"28",3427410000,67788500,0.121067,0.579005,3513540000,71874400,0.117894,0.570239,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",28,"A100-D0-E20-F1-L100-cay-1"
"29",3042810000,111600000,0.121067,0.579005,3126410000,112959000,0.117238,0.568552,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",29,"A100-D0-E20-F1-L100-cay-1"
"30",2705120000,135791000,0.121067,0.579005,2799370000,124138000,0.116396,0.566379,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",30,"A100-D0-E20-F1-L100-cay-1"
"31",2405950000,180857000,0.121067,0.579005,2508570000,157513000,0.115481,0.563995,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",31,"A100-D0-E20-F1-L100-cay-1"
"32",2173440000,92952500,0.121067,0.579005,2278100000,103682000,0.115193,0.563243,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",32,"A100-D0-E20-F1-L100-cay-1"
"33",2022060000,129817000,0.121067,0.579005,2113590000,87620200,0.115999,0.565347,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",33,"A100-D0-E20-F1-L100-cay-1"
"34",1927810000,99069100,0.121067,0.579005,2001790000,96836100,0.116607,0.566924,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",34,"A100-D0-E20-F1-L100-cay-1"
"35",1847670000,62633700,0.121067,0.579005,1900010000,81800400,0.118757,0.572439,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",35,"A100-D0-E20-F1-L100-cay-1"
"36",1784020000,100764000,0.121067,0.579005,1798050000,100070000,0.120926,0.577898,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",36,"A100-D0-E20-F1-L100-cay-1"
"37",1706720000,88928400,0.121067,0.579005,1697220000,68835400,0.121824,0.580128,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",37,"A100-D0-E20-F1-L100-cay-1"
"38",1617750000,102621000,0.121067,0.579005,1601090000,102374000,0.122204,0.581069,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",38,"A100-D0-E20-F1-L100-cay-1"
"39",1537930000,152325000,0.121067,0.579005,1514040000,149098000,0.123375,0.583941,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",39,"A100-D0-E20-F1-L100-cay-1"
"40",1468590000,119041000,0.121067,0.579005,1431770000,115987000,0.124267,0.586111,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",40,"A100-D0-E20-F1-L100-cay-1"
"41",1432400000,87425200,0.121067,0.579005,1386480000,78614200,0.124823,0.587456,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",41,"A100-D0-E20-F1-L100-cay-1"
"42",1433630000,91095900,0.121067,0.579005,1382810000,83922000,0.125223,0.588419,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",42,"A100-D0-E20-F1-L100-cay-1"
"43",1436470000,130368000,0.121067,0.579005,1381920000,137108000,0.125859,0.589943,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",43,"A100-D0-E20-F1-L100-cay-1"
"44",1425560000,112643000,0.121067,0.579005,1363610000,103997000,0.126662,0.591858,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",44,"A100-D0-E20-F1-L100-cay-1"
"45",1416330000,71938700,0.121067,0.579005,1348100000,62387200,0.126641,0.591808,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",45,"A100-D0-E20-F1-L100-cay-1"
"46",1420010000,79914600,0.121067,0.579005,1351630000,89035400,0.126907,0.592439,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",46,"A100-D0-E20-F1-L100-cay-1"
"47",1413320000,117757000,0.121067,0.579005,1341630000,120865000,0.127626,0.594138,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",47,"A100-D0-E20-F1-L100-cay-1"
"48",1384390000,124130000,0.121067,0.579005,1309550000,1.39e+08,0.127525,0.593899,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",48,"A100-D0-E20-F1-L100-cay-1"
"49",1355560000,86376100,0.121067,0.579005,1285210000,84593700,0.126799,0.592182,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",49,"A100-D0-E20-F1-L100-cay-1"
"50",1347290000,138449000,0.121067,0.579005,1289510000,117554000,0.124887,0.587612,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",50,"A100-D0-E20-F1-L100-cay-1"
"51",1346880000,101993000,0.121067,0.579005,1310310000,104080000,0.123307,0.583776,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",51,"A100-D0-E20-F1-L100-cay-1"
"52",1351430000,74525100,0.121067,0.579005,1325040000,81049300,0.123084,0.583231,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",52,"A100-D0-E20-F1-L100-cay-1"
"53",1370330000,117146000,0.121067,0.579005,1343430000,96719900,0.12305,0.583147,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",53,"A100-D0-E20-F1-L100-cay-1"
"54",1373160000,59299000,0.121067,0.579005,1349190000,82803800,0.122715,0.582326,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",54,"A100-D0-E20-F1-L100-cay-1"
"55",1364600000,189310000,0.121067,0.579005,1339520000,190657000,0.123416,0.584043,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",55,"A100-D0-E20-F1-L100-cay-1"
"56",1349250000,174353000,0.121067,0.579005,1321820000,173546000,0.122752,0.582417,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",56,"A100-D0-E20-F1-L100-cay-1"
"57",1343780000,71537800,0.121067,0.579005,1325640000,87656300,0.121468,0.579247,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",57,"A100-D0-E20-F1-L100-cay-1"
"58",1399470000,69637500,0.121067,0.579005,1393500000,59902200,0.12038,0.576534,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",58,"A100-D0-E20-F1-L100-cay-1"
"59",1458560000,133089000,0.121067,0.579005,1472020000,134534000,0.118693,0.572275,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",59,"A100-D0-E20-F1-L100-cay-1"
"60",1470450000,86641000,0.121067,0.579005,1504410000,74091600,0.117715,0.569778,"A100-D0-E20-F1-L100-cay",1,"A100","D0","E20","F1","L100","cay",60,"A100-D0-E20-F1-L100-cay-1"
