"","SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","B","D","E","F","species","year","ID"
"1",4084180000,155131000,0,3792420000,112955000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",1,"B0-D100-E1-F0-cod-1"
"2",4084200000,174064000,0,3792420000,117578000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",2,"B0-D100-E1-F0-cod-1"
"3",4091160000,105101000,0,3789330000,112756000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",3,"B0-D100-E1-F0-cod-1"
"4",4121110000,28647400,0,3779920000,98362500,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",4,"B0-D100-E1-F0-cod-1"
"5",4159120000,141111000,0,3765960000,126287000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",5,"B0-D100-E1-F0-cod-1"
"6",4145520000,53683200,0,3741960000,105660000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",6,"B0-D100-E1-F0-cod-1"
"7",4080190000,73189400,0,3711650000,96545900,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",7,"B0-D100-E1-F0-cod-1"
"8",3998250000,110772000,0,3684740000,92881700,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",8,"B0-D100-E1-F0-cod-1"
"9",3871510000,140683000,0,3649790000,158491000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",9,"B0-D100-E1-F0-cod-1"
"10",3735570000,169028000,0,3603840000,189768000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",10,"B0-D100-E1-F0-cod-1"
"11",3626460000,83293400,0,3567190000,84869100,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",11,"B0-D100-E1-F0-cod-1"
"12",3571810000,52935500,0,3581980000,89885100,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",12,"B0-D100-E1-F0-cod-1"
"13",3556850000,95885100,0,3627260000,108399000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",13,"B0-D100-E1-F0-cod-1"
"14",3523560000,94655500,0,3647560000,79629700,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",14,"B0-D100-E1-F0-cod-1"
"15",3466330000,39072400,0,3647790000,70894000,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",15,"B0-D100-E1-F0-cod-1"
"16",3404560000,71623000,0,3626360000,74783600,0,"B0-D100-E1-F0-cod",1,"B0","D100","E1","F0","cod",16,"B0-D100-E1-F0-cod-1"
